"Genome","Substrates","n","Species"
"16COLB","agarose",1,"MB"
"16COLB","alpha-galactan",5,"MB"
"16COLB","alpha-glucan",17,"MB"
"16COLB","alpha-mannan",3,"MB"
"16COLB","arabinan",7,"MB"
"16COLB","arabinogalactan protein",9,"MB"
"16COLB","beta-fucosides",1,"MB"
"16COLB","beta-galactan",1,"MB"
"16COLB","beta-glucan",14,"MB"
"16COLB","beta-glucuronan",2,"MB"
"16COLB","beta-glycan",3,"MB"
"16COLB","beta-mannan",8,"MB"
"16COLB","carrageenan",1,"MB"
"16COLB","cellulose",4,"MB"
"16COLB","chitin",10,"MB"
"16COLB","chitosan",4,"MB"
"16COLB","exo-polysaccharide",1,"MB"
"16COLB","fructan",5,"MB"
"16COLB","glucosylglycerate",13,"MB"
"16COLB","glucosylglycerol",13,"MB"
"16COLB","glycogen",14,"MB"
"16COLB","glycolipid",3,"MB"
"16COLB","host glycan",10,"MB"
"16COLB","pectin",1,"MB"
"16COLB","peptidoglycan",8,"MB"
"16COLB","polyphenol",8,"MB"
"16COLB","porphyran",1,"MB"
"16COLB","raffinose",2,"MB"
"16COLB","starch",18,"MB"
"16COLB","sucrose",15,"MB"
"16COLB","trehalose",13,"MB"
"16COLB","xylan",11,"MB"
"16COLB","xyloglucan",9,"MB"
"3SKV","alpha-galactan",3,"MB"
"3SKV","alpha-glucan",8,"MB"
"3SKV","alpha-mannan",6,"MB"
"3SKV","alpha-rhamnoside",4,"MB"
"3SKV","arabinan",14,"MB"
"3SKV","arabinogalactan protein",8,"MB"
"3SKV","beta-galactan",11,"MB"
"3SKV","beta-glucan",11,"MB"
"3SKV","beta-glucuronan",5,"MB"
"3SKV","beta-mannan",5,"MB"
"3SKV","carrageenan",1,"MB"
"3SKV","chitin",7,"MB"
"3SKV","chitosan",5,"MB"
"3SKV","exo-polysaccharide",1,"MB"
"3SKV","glucosylglycerate",5,"MB"
"3SKV","glucosylglycerol",5,"MB"
"3SKV","glycogen",6,"MB"
"3SKV","host glycan",17,"MB"
"3SKV","human milk polysaccharide",1,"MB"
"3SKV","pectin",22,"MB"
"3SKV","peptidoglycan",6,"MB"
"3SKV","polyphenol",3,"MB"
"3SKV","raffinose",1,"MB"
"3SKV","starch",9,"MB"
"3SKV","sucrose",6,"MB"
"3SKV","trehalose",5,"MB"
"3SKV","ulvan",3,"MB"
"3SKV","xylan",16,"MB"
"3SKV","xyloglucan",4,"MB"
"3SKV",NA,2,"MB"
"7BRU","agarose",2,"MB"
"7BRU","alpha-galactan",12,"MB"
"7BRU","alpha-glucan",16,"MB"
"7BRU","alpha-mannan",11,"MB"
"7BRU","arabinan",18,"MB"
"7BRU","arabinogalactan protein",15,"MB"
"7BRU","beta-fucosides",2,"MB"
"7BRU","beta-galactan",11,"MB"
"7BRU","beta-glucan",20,"MB"
"7BRU","beta-glucuronan",8,"MB"
"7BRU","beta-mannan",6,"MB"
"7BRU","carrageenan",3,"MB"
"7BRU","chitin",9,"MB"
"7BRU","chitosan",6,"MB"
"7BRU","exo-polysaccharide",2,"MB"
"7BRU","fructan",1,"MB"
"7BRU","glucosylglycerate",9,"MB"
"7BRU","glucosylglycerol",9,"MB"
"7BRU","glycogen",10,"MB"
"7BRU","host glycan",35,"MB"
"7BRU","pectin",12,"MB"
"7BRU","peptidoglycan",10,"MB"
"7BRU","polyphenol",10,"MB"
"7BRU","porphyran",2,"MB"
"7BRU","raffinose",6,"MB"
"7BRU","sialic acid",1,"MB"
"7BRU","starch",19,"MB"
"7BRU","sucrose",14,"MB"
"7BRU","trehalose",9,"MB"
"7BRU","ulvan",1,"MB"
"7BRU","xylan",21,"MB"
"7BRU","xyloglucan",13,"MB"
"7FAA","agarose",2,"MB"
"7FAA","alpha-galactan",4,"MB"
"7FAA","alpha-glucan",18,"MB"
"7FAA","alpha-mannan",2,"MB"
"7FAA","arabinan",5,"MB"
"7FAA","arabinogalactan protein",4,"MB"
"7FAA","beta-galactan",1,"MB"
"7FAA","beta-glucan",11,"MB"
"7FAA","carrageenan",2,"MB"
"7FAA","chitin",8,"MB"
"7FAA","exo-polysaccharide",2,"MB"
"7FAA","fructan",2,"MB"
"7FAA","glucosylglycerate",13,"MB"
"7FAA","glucosylglycerol",13,"MB"
"7FAA","glycogen",14,"MB"
"7FAA","host glycan",9,"MB"
"7FAA","pectin",1,"MB"
"7FAA","peptidoglycan",10,"MB"
"7FAA","polyphenol",6,"MB"
"7FAA","porphyran",2,"MB"
"7FAA","raffinose",1,"MB"
"7FAA","starch",18,"MB"
"7FAA","sucrose",15,"MB"
"7FAA","trehalose",13,"MB"
"7FAA","ulvan",1,"MB"
"7FAA","xylan",5,"MB"
"7FAA","xyloglucan",8,"MB"
"7GAM","agarose",2,"MB"
"7GAM","alkaloid",2,"MB"
"7GAM","alpha-galactan",8,"MB"
"7GAM","alpha-glucan",15,"MB"
"7GAM","alpha-mannan",17,"MB"
"7GAM","alpha-rhamnoside",1,"MB"
"7GAM","arabinan",55,"MB"
"7GAM","arabinogalactan",1,"MB"
"7GAM","arabinogalactan protein",37,"MB"
"7GAM","beta-fucosides",1,"MB"
"7GAM","beta-galactan",41,"MB"
"7GAM","beta-glucan",36,"MB"
"7GAM","beta-glucuronan",12,"MB"
"7GAM","beta-glycan",2,"MB"
"7GAM","beta-mannan",13,"MB"
"7GAM","carrageenan",4,"MB"
"7GAM","cellulose",5,"MB"
"7GAM","chitin",17,"MB"
"7GAM","chitosan",14,"MB"
"7GAM","exo-polysaccharide",2,"MB"
"7GAM","glucosylglycerate",7,"MB"
"7GAM","glucosylglycerol",7,"MB"
"7GAM","glycogen",8,"MB"
"7GAM","glycolipid",2,"MB"
"7GAM","host glycan",40,"MB"
"7GAM","pectin",23,"MB"
"7GAM","peptidoglycan",14,"MB"
"7GAM","polyphenol",15,"MB"
"7GAM","porphyran",2,"MB"
"7GAM","raffinose",1,"MB"
"7GAM","starch",16,"MB"
"7GAM","sucrose",13,"MB"
"7GAM","trehalose",7,"MB"
"7GAM","ulvan",2,"MB"
"7GAM","xylan",64,"MB"
"7GAM","xyloglucan",19,"MB"
"8CFAA","agarose",1,"MB"
"8CFAA","alpha-galactan",6,"MB"
"8CFAA","alpha-glucan",12,"MB"
"8CFAA","alpha-mannan",12,"MB"
"8CFAA","alpha-rhamnoside",3,"MB"
"8CFAA","arabinan",15,"MB"
"8CFAA","arabinogalactan protein",6,"MB"
"8CFAA","beta-galactan",11,"MB"
"8CFAA","beta-glucan",15,"MB"
"8CFAA","beta-glucuronan",8,"MB"
"8CFAA","beta-glycan",1,"MB"
"8CFAA","beta-mannan",11,"MB"
"8CFAA","carrageenan",1,"MB"
"8CFAA","cellulose",1,"MB"
"8CFAA","chitin",10,"MB"
"8CFAA","chitosan",9,"MB"
"8CFAA","exo-polysaccharide",4,"MB"
"8CFAA","fructan",2,"MB"
"8CFAA","glucosylglycerate",7,"MB"
"8CFAA","glucosylglycerol",7,"MB"
"8CFAA","glycogen",8,"MB"
"8CFAA","glycolipid",1,"MB"
"8CFAA","host glycan",37,"MB"
"8CFAA","human milk polysaccharide",3,"MB"
"8CFAA","pectin",13,"MB"
"8CFAA","peptidoglycan",12,"MB"
"8CFAA","polyphenol",7,"MB"
"8CFAA","porphyran",1,"MB"
"8CFAA","raffinose",3,"MB"
"8CFAA","starch",12,"MB"
"8CFAA","sucrose",9,"MB"
"8CFAA","trehalose",8,"MB"
"8CFAA","xylan",16,"MB"
"8CFAA","xyloglucan",9,"MB"
"8CFAA",NA,1,"MB"
"8FAA","agarose",1,"MB"
"8FAA","alpha-galactan",6,"MB"
"8FAA","alpha-glucan",12,"MB"
"8FAA","alpha-mannan",12,"MB"
"8FAA","alpha-rhamnoside",3,"MB"
"8FAA","arabinan",15,"MB"
"8FAA","arabinogalactan protein",6,"MB"
"8FAA","beta-galactan",11,"MB"
"8FAA","beta-glucan",15,"MB"
"8FAA","beta-glucuronan",8,"MB"
"8FAA","beta-glycan",1,"MB"
"8FAA","beta-mannan",11,"MB"
"8FAA","carrageenan",1,"MB"
"8FAA","cellulose",1,"MB"
"8FAA","chitin",9,"MB"
"8FAA","chitosan",9,"MB"
"8FAA","exo-polysaccharide",4,"MB"
"8FAA","fructan",2,"MB"
"8FAA","glucosylglycerate",7,"MB"
"8FAA","glucosylglycerol",7,"MB"
"8FAA","glycogen",8,"MB"
"8FAA","glycolipid",1,"MB"
"8FAA","host glycan",37,"MB"
"8FAA","human milk polysaccharide",3,"MB"
"8FAA","pectin",13,"MB"
"8FAA","peptidoglycan",12,"MB"
"8FAA","polyphenol",7,"MB"
"8FAA","porphyran",1,"MB"
"8FAA","raffinose",3,"MB"
"8FAA","starch",12,"MB"
"8FAA","sucrose",9,"MB"
"8FAA","trehalose",8,"MB"
"8FAA","xylan",16,"MB"
"8FAA","xyloglucan",9,"MB"
"8FAA",NA,1,"MB"
"8FAAM","agarose",1,"MB"
"8FAAM","alpha-galactan",5,"MB"
"8FAAM","alpha-glucan",17,"MB"
"8FAAM","alpha-mannan",3,"MB"
"8FAAM","arabinan",7,"MB"
"8FAAM","arabinogalactan protein",9,"MB"
"8FAAM","beta-fucosides",1,"MB"
"8FAAM","beta-galactan",1,"MB"
"8FAAM","beta-glucan",14,"MB"
"8FAAM","beta-glucuronan",2,"MB"
"8FAAM","beta-glycan",3,"MB"
"8FAAM","beta-mannan",8,"MB"
"8FAAM","carrageenan",1,"MB"
"8FAAM","cellulose",4,"MB"
"8FAAM","chitin",10,"MB"
"8FAAM","chitosan",4,"MB"
"8FAAM","exo-polysaccharide",1,"MB"
"8FAAM","fructan",5,"MB"
"8FAAM","glucosylglycerate",13,"MB"
"8FAAM","glucosylglycerol",13,"MB"
"8FAAM","glycogen",14,"MB"
"8FAAM","glycolipid",3,"MB"
"8FAAM","host glycan",10,"MB"
"8FAAM","pectin",1,"MB"
"8FAAM","peptidoglycan",9,"MB"
"8FAAM","polyphenol",8,"MB"
"8FAAM","porphyran",1,"MB"
"8FAAM","raffinose",2,"MB"
"8FAAM","starch",18,"MB"
"8FAAM","sucrose",15,"MB"
"8FAAM","trehalose",13,"MB"
"8FAAM","xylan",11,"MB"
"8FAAM","xyloglucan",9,"MB"
"8FB","agarose",1,"MB"
"8FB","alpha-galactan",2,"MB"
"8FB","alpha-glucan",3,"MB"
"8FB","alpha-mannan",6,"MB"
"8FB","arabinan",6,"MB"
"8FB","arabinogalactan protein",2,"MB"
"8FB","beta-galactan",4,"MB"
"8FB","beta-glucan",9,"MB"
"8FB","beta-glucuronan",4,"MB"
"8FB","beta-glycan",1,"MB"
"8FB","beta-mannan",8,"MB"
"8FB","carrageenan",1,"MB"
"8FB","cellulose",1,"MB"
"8FB","chitin",6,"MB"
"8FB","chitosan",5,"MB"
"8FB","exo-polysaccharide",10,"MB"
"8FB","glucosylglycerate",2,"MB"
"8FB","glucosylglycerol",2,"MB"
"8FB","glycogen",3,"MB"
"8FB","glycolipid",1,"MB"
"8FB","host glycan",28,"MB"
"8FB","human milk polysaccharide",9,"MB"
"8FB","pectin",6,"MB"
"8FB","peptidoglycan",8,"MB"
"8FB","polyphenol",3,"MB"
"8FB","porphyran",1,"MB"
"8FB","sialic acid",1,"MB"
"8FB","starch",5,"MB"
"8FB","sucrose",3,"MB"
"8FB","trehalose",2,"MB"
"8FB","xylan",8,"MB"
"8FB","xyloglucan",5,"MB"
"8FB",NA,2,"MB"
"Akkermansia","agarose",3,"non-MB"
"Akkermansia","alpha-galactan",5,"non-MB"
"Akkermansia","alpha-glucan",5,"non-MB"
"Akkermansia","alpha-mannan",8,"non-MB"
"Akkermansia","arabinan",9,"non-MB"
"Akkermansia","arabinogalactan protein",6,"non-MB"
"Akkermansia","beta-galactan",10,"non-MB"
"Akkermansia","beta-glucan",12,"non-MB"
"Akkermansia","beta-glucuronan",6,"non-MB"
"Akkermansia","beta-mannan",6,"non-MB"
"Akkermansia","carrageenan",3,"non-MB"
"Akkermansia","chitin",7,"non-MB"
"Akkermansia","chitosan",6,"non-MB"
"Akkermansia","exo-polysaccharide",14,"non-MB"
"Akkermansia","glucosylglycerate",3,"non-MB"
"Akkermansia","glucosylglycerol",3,"non-MB"
"Akkermansia","glycogen",3,"non-MB"
"Akkermansia","host glycan",45,"non-MB"
"Akkermansia","human milk polysaccharide",11,"non-MB"
"Akkermansia","pectin",14,"non-MB"
"Akkermansia","peptidoglycan",2,"non-MB"
"Akkermansia","polyphenol",3,"non-MB"
"Akkermansia","porphyran",3,"non-MB"
"Akkermansia","raffinose",2,"non-MB"
"Akkermansia","sialic acid",2,"non-MB"
"Akkermansia","starch",8,"non-MB"
"Akkermansia","sucrose",5,"non-MB"
"Akkermansia","trehalose",3,"non-MB"
"Akkermansia","ulvan",1,"non-MB"
"Akkermansia","xylan",12,"non-MB"
"Akkermansia","xyloglucan",8,"non-MB"
"Akkermansia",NA,1,"non-MB"
"B_theta","agarose",3,"non-MB"
"B_theta","alpha-galactan",14,"non-MB"
"B_theta","alpha-glucan",29,"non-MB"
"B_theta","alpha-mannan",55,"non-MB"
"B_theta","alpha-rhamnoside",6,"non-MB"
"B_theta","arabinan",84,"non-MB"
"B_theta","arabinogalactan",1,"non-MB"
"B_theta","arabinogalactan protein",55,"non-MB"
"B_theta","beta-fucosides",3,"non-MB"
"B_theta","beta-galactan",69,"non-MB"
"B_theta","beta-glucan",54,"non-MB"
"B_theta","beta-glucuronan",35,"non-MB"
"B_theta","beta-mannan",36,"non-MB"
"B_theta","carrageenan",7,"non-MB"
"B_theta","chitin",23,"non-MB"
"B_theta","chitosan",32,"non-MB"
"B_theta","exo-polysaccharide",18,"non-MB"
"B_theta","fructan",4,"non-MB"
"B_theta","glucosylglycerate",7,"non-MB"
"B_theta","glucosylglycerol",7,"non-MB"
"B_theta","glycogen",8,"non-MB"
"B_theta","host glycan",147,"non-MB"
"B_theta","human milk polysaccharide",14,"non-MB"
"B_theta","pectin",79,"non-MB"
"B_theta","peptidoglycan",19,"non-MB"
"B_theta","polyphenol",16,"non-MB"
"B_theta","porphyran",3,"non-MB"
"B_theta","raffinose",7,"non-MB"
"B_theta","sialic acid",2,"non-MB"
"B_theta","starch",20,"non-MB"
"B_theta","sucrose",13,"non-MB"
"B_theta","trehalose",7,"non-MB"
"B_theta","ulvan",7,"non-MB"
"B_theta","xylan",92,"non-MB"
"B_theta","xyloglucan",24,"non-MB"
"B_theta",NA,1,"non-MB"
