Sample_no,Sex,Cage,Treatment,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Liver,mLN,Spleen,Cecum
1,F,1,PEG,100,1400000,1500000,25000000,30000000,,67046.59739,617760.6178,1032524.522,4538087.52
2,F,1,PEG,100,1000000,12000000,23000,30000000,,11976.0479,89820.35928,725952.8131,2764976.959
3,F,2,PEG,100,1400,22000,1300000,120000,9000,7270.524084,350877.193,16142.05004,448979.5918
4,F,2,PEG,700,1500,50000,,70000,220000,10391.68665,221238.9381,67854.11366,543056.633
5,M,3,PEG,1000,3700,29000,50000,400000,800000,13071.89542,149625.9352,140421.2638,1714285.714
6,M,3,PEG,2000,2000,150000,50000,400000,100000,20945.08301,139372.8223,59292.19937,429958.3911
7,M,4,PEG,7000,70000,170000,150000,110000,150000,3919.007185,168115.942,16866.40036,229299.3631
8,M,4,PEG,100,500,11000,50000,120000,40000,150.4324934,20533.8809,14266.60722,249776.9848
9,F,5,MB-,100,200,800,21000,80000,80000,45.19774011,440.5286344,125.5492781,161145.9266
10,F,5,MB-,100,100,100,100,100,100,65.96306069,408.997955,163.5322976,141843.9716
11,F,5,MB-,1000,100,100,100,2000,1200,135.5932203,264.2007926,66.55574043,58571.42857
12,M,6,MB-,100,600,15000,70000,60000,220000,47384.72754,75376.88442,444162.4365,117216.1172
13,M,6,MB-,100,100,100,100,1700,90000,1941.119379,362.9764065,18683.6518,2406.738869
14,M,7,MB-,70000,800,11000,80000,2800000,5000000,,1267605.634,3394625.177,
15,M,7,MB-,100,100,600,9000,90000,90000,74543.42154,244604.3165,969064.4801,33696.72944